input_city|city|country|month|high|low
Čelákovice|Celakovice|Czechia|June|23|13
Čelákovice|Celakovice|Czechia|July|26|16
Čelákovice|Celakovice|Czechia|August|25|15
Čelákovice|Celakovice|Czechia|September|20|11
Čelákovice|Celakovice|Czechia|October|14|6
Čelákovice|Celakovice|Czechia|November|8|3
Čelákovice|Celakovice|Czechia|December|4|-1
Čerčany|Čerčany|Czechia|January|2|-4
Čerčany|Čerčany|Czechia|February|4|-3
Čerčany|Čerčany|Czechia|March|9|0
Čerčany|Čerčany|Czechia|April|14|4
Čerčany|Čerčany|Czechia|May|20|8
Čerčany|Čerčany|Czechia|June|23|11
Čerčany|Čerčany|Czechia|July|25|13
Čerčany|Čerčany|Czechia|August|25|13
Čerčany|Čerčany|Czechia|September|20|9
Čerčany|Čerčany|Czechia|October|13|5
Čerčany|Čerčany|Czechia|November|7|1
Čerčany|Čerčany|Czechia|December|3|-2
Černosice|Černošice|Czechia|January|2|-4
Černosice|Černošice|Czechia|February|4|-3
Černosice|Černošice|Czechia|March|9|0
Černosice|Černošice|Czechia|April|14|4
Černosice|Černošice|Czechia|May|20|8
Černosice|Černošice|Czechia|June|23|11
Černosice|Černošice|Czechia|July|25|13
Černosice|Černošice|Czechia|August|25|13
Černosice|Černošice|Czechia|September|20|9
Černosice|Černošice|Czechia|October|13|5
Černosice|Černošice|Czechia|November|7|1
Černosice|Černošice|Czechia|December|3|-2
Česká Třebová|Česká Třebová|Czechia|January|1|-5
Česká Třebová|Česká Třebová|Czechia|February|3|-4
Česká Třebová|Česká Třebová|Czechia|March|8|-1
Česká Třebová|Česká Třebová|Czechia|April|13|3
Česká Třebová|Česká Třebová|Czechia|May|19|7
Česká Třebová|Česká Třebová|Czechia|June|22|10
Česká Třebová|Česká Třebová|Czechia|July|24|12
Česká Třebová|Česká Třebová|Czechia|August|24|11
Česká Třebová|Česká Třebová|Czechia|September|18|8
Česká Třebová|Česká Třebová|Czechia|October|12|4
Česká Třebová|Česká Třebová|Czechia|November|6|0
Česká Třebová|Česká Třebová|Czechia|December|2|-3
České Budějovice|Ceske Budejovice|Czechia|January|3|-4
České Budějovice|Ceske Budejovice|Czechia|February|5|-3
České Budějovice|Ceske Budejovice|Czechia|March|10|0
České Budějovice|Ceske Budejovice|Czechia|April|16|4
České Budějovice|Ceske Budejovice|Czechia|May|20|8
České Budějovice|Ceske Budejovice|Czechia|June|24|12
České Budějovice|Ceske Budejovice|Czechia|July|26|13
České Budějovice|Ceske Budejovice|Czechia|August|25|13
České Budějovice|Ceske Budejovice|Czechia|September|20|9
České Budějovice|Ceske Budejovice|Czechia|October|14|5
České Budějovice|Ceske Budejovice|Czechia|November|8|1
České Budějovice|Ceske Budejovice|Czechia|December|4|-2
Cesky Krumlov|Český Krumlov|Czechia|January|2|-5
Cesky Krumlov|Český Krumlov|Czechia|February|3|-5
Cesky Krumlov|Český Krumlov|Czechia|March|9|-1
Cesky Krumlov|Český Krumlov|Czechia|April|13|2
Cesky Krumlov|Český Krumlov|Czechia|May|18|7
Cesky Krumlov|Český Krumlov|Czechia|June|21|10
Cesky Krumlov|Český Krumlov|Czechia|July|23|11
Cesky Krumlov|Český Krumlov|Czechia|August|23|11
Cesky Krumlov|Český Krumlov|Czechia|September|19|8
Cesky Krumlov|Český Krumlov|Czechia|October|12|3
Cesky Krumlov|Český Krumlov|Czechia|November|6|-1
Cesky Krumlov|Český Krumlov|Czechia|December|3|-3
Cesky Tesin|Český Těšín|Czechia|January|3|-2
Cesky Tesin|Český Těšín|Czechia|February|4|-2
Cesky Tesin|Český Těšín|Czechia|March|7|1
Cesky Tesin|Český Těšín|Czechia|April|12|5
Cesky Tesin|Český Těšín|Czechia|May|18|10
Cesky Tesin|Český Těšín|Czechia|June|21|13
Cesky Tesin|Český Těšín|Czechia|July|23|15
Cesky Tesin|Český Těšín|Czechia|August|23|15
Cesky Tesin|Český Těšín|Czechia|September|18|11
Cesky Tesin|Český Těšín|Czechia|October|13|7
Cesky Tesin|Český Těšín|Czechia|November|7|3
Cesky Tesin|Český Těšín|Czechia|December|4|-1
Cheb|Cheb|Czechia|January|1|-5
Cheb|Cheb|Czechia|February|3|-4
Cheb|Cheb|Czechia|March|8|-1
Cheb|Cheb|Czechia|April|13|2
Cheb|Cheb|Czechia|May|18|6
Cheb|Cheb|Czechia|June|21|10
Cheb|Cheb|Czechia|July|23|11
Cheb|Cheb|Czechia|August|23|11
Cheb|Cheb|Czechia|September|19|8
Cheb|Cheb|Czechia|October|13|4
Cheb|Cheb|Czechia|November|6|0
Cheb|Cheb|Czechia|December|2|-3
Chodov|Chodov|Prague 11|January|2|-4
Chodov|Chodov|Prague 11|February|4|-3
Chodov|Chodov|Prague 11|March|9|0
Chodov|Chodov|Prague 11|April|14|4
Chodov|Chodov|Prague 11|May|20|8
Chodov|Chodov|Prague 11|June|23|11
Chodov|Chodov|Prague 11|July|25|13
Chodov|Chodov|Prague 11|August|25|13
Chodov|Chodov|Prague 11|September|20|9
Chodov|Chodov|Prague 11|October|13|5
Chodov|Chodov|Prague 11|November|7|1
Chodov|Chodov|Prague 11|December|3|-2
Chomutov|Chomutov|Czechia|January|2|-3
Chomutov|Chomutov|Czechia|February|4|-2
Chomutov|Chomutov|Czechia|March|9|0
Chomutov|Chomutov|Czechia|April|15|4
Chomutov|Chomutov|Czechia|May|19|8
Chomutov|Chomutov|Czechia|June|22|11
Chomutov|Chomutov|Czechia|July|25|13
Chomutov|Chomutov|Czechia|August|24|13
Chomutov|Chomutov|Czechia|September|19|9
Chomutov|Chomutov|Czechia|October|13|5
Chomutov|Chomutov|Czechia|November|6|1
Chomutov|Chomutov|Czechia|December|3|-2
Chotěboř|Chotebor|Czechia|January|0|-6
Chotěboř|Chotebor|Czechia|February|2|-5
Chotěboř|Chotebor|Czechia|March|7|-2
Chotěboř|Chotebor|Czechia|April|12|2
Chotěboř|Chotebor|Czechia|May|18|6
Chotěboř|Chotebor|Czechia|June|21|9
Chotěboř|Chotebor|Czechia|July|23|11
Chotěboř|Chotebor|Czechia|August|23|10
Chotěboř|Chotebor|Czechia|September|18|7
Chotěboř|Chotebor|Czechia|October|12|3
Chotěboř|Chotebor|Czechia|November|5|-1
Chotěboř|Chotebor|Czechia|December|1|-4
Chrudim|Chrudim|Czechia|January|2|-4
Chrudim|Chrudim|Czechia|February|5|-3
Chrudim|Chrudim|Czechia|March|10|0
Chrudim|Chrudim|Czechia|April|16|4
Chrudim|Chrudim|Czechia|May|20|8
Chrudim|Chrudim|Czechia|June|24|12
Chrudim|Chrudim|Czechia|July|25|13
Chrudim|Chrudim|Czechia|August|25|13
Chrudim|Chrudim|Czechia|September|20|9
Chrudim|Chrudim|Czechia|October|14|5
Chrudim|Chrudim|Czechia|November|8|1
Chrudim|Chrudim|Czechia|December|3|-3
Děčín|Děčín|Czechia|January|2|-2
Děčín|Děčín|Czechia|February|5|-1
Děčín|Děčín|Czechia|March|9|2
Děčín|Děčín|Czechia|April|15|6
Děčín|Děčín|Czechia|May|20|10
